工號,姓名,單位
SW00001,機器人01,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00002,機器人02,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00003,機器人03,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00004,機器人04,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00005,機器人05,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00006,機器人06,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00007,機器人07,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00008,機器人08,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00009,機器人09,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00010,機器人10,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00011,機器人11,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00012,機器人12,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00013,機器人13,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00014,機器人14,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00015,機器人15,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00016,機器人16,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00017,機器人17,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00018,機器人18,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00019,機器人19,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00020,機器人20,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00021,機器人21,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00022,機器人22,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00023,機器人23,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00024,機器人24,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00025,機器人25,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00026,機器人26,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00027,機器人27,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00028,機器人28,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00029,機器人29,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00030,機器人30,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00031,機器人31,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00032,機器人32,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00033,機器人33,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00034,機器人34,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00035,機器人35,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00036,機器人36,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00037,機器人37,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00038,機器人38,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00039,機器人39,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00040,機器人40,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00041,機器人41,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
SW00042,機器人42,C:\Users\jashliao\Desktop\LabelShop_testData\20210610094646.jpg
